# Squid native access.log sample (synthetic, RFC 1918 addresses, no real data)
# ts elapsed client code/status bytes method URL rfc931 peer mime
1753132800.123 45 10.12.3.41 TCP_MISS/200 15234 CONNECT api.anthropic.com:443 jsmith DIRECT/104.18.32.47 -
1753132801.050 12 10.12.3.41 TCP_MISS/200 2201 CONNECT statsig.anthropic.com:443 jsmith DIRECT/104.18.32.48 -
1753132802.400 210 10.12.7.19 TCP_MISS/200 88210 CONNECT api2.cursor.sh:443 agarcia DIRECT/76.76.21.21 -
1753132803.900 33 10.12.9.77 TCP_MISS/200 5120 CONNECT api.kilocode.ai:443 bchen DIRECT/104.21.5.10 -
1753132805.100 61 10.12.4.55 TCP_MISS/200 24012 CONNECT api.githubcopilot.com:443 dpatel DIRECT/140.82.112.21 -
1753132806.300 88 10.12.4.55 TCP_MISS/200 1024 CONNECT copilot-proxy.githubusercontent.com:443 dpatel DIRECT/140.82.112.22 -
1753132808.000 15 10.12.6.23 TCP_MISS/200 4096 GET http://chatgpt.com/c/abc123?model=gpt-4o emiller DIRECT/104.18.33.45 text/html
1753132809.500 44 10.12.8.31 TCP_MISS/200 33210 CONNECT api.deepseek.com:443 fjones DIRECT/104.18.27.90 -
1753132811.000 29 10.12.8.31 TCP_MISS/200 512 CONNECT openrouter.ai:443 fjones DIRECT/104.21.32.10 -
1753132815.200 120 10.12.2.10 TCP_MISS/200 20480 CONNECT api.openai.com:443 glopez DIRECT/172.64.150.10 -
1753132820.000 5 10.12.3.41 TCP_MISS/200 2048 CONNECT www.google.com:443 jsmith DIRECT/142.250.72.4 -
1753132821.000 8 10.12.5.60 TCP_MISS/200 1536 CONNECT github.com:443 hkim DIRECT/140.82.121.4 -
1753132822.000 40 10.12.5.60 TCP_MISS/200 9999 CONNECT server.codeium.com:443 hkim DIRECT/35.190.42.10 -
